,top_words,word0,word1,word2,word3,word4,word5,word6,word7,word8,word9,word10,word11,word12,word13,word14,word15,word16,word17,word18,word19,word0_count,word1_count,word2_count,word3_count,word4_count,word5_count,word6_count,word7_count,word8_count,word9_count,word10_count,word11_count,word12_count,word13_count,word14_count,word15_count,word16_count,word17_count,word18_count,word19_count,Artist,genre,gender
Led Zeppelin,oh baby love ah ooh time now ive way gonna going back bring ahh long lonely might make got day,oh,baby,love,ah,ooh,time,now,ive,way,gonna,going,back,bring,ahh,long,lonely,might,make,got,day,1.0,0.49295774647887325,0.49295774647887325,0.47183098591549294,0.4647887323943662,0.34507042253521125,0.2746478873239437,0.23943661971830985,0.20422535211267606,0.19718309859154928,0.19718309859154928,0.19014084507042253,0.18309859154929578,0.176056338028169,0.16901408450704225,0.1619718309859155,0.15492957746478872,0.13380281690140844,0.1267605633802817,0.11971830985915492,Led Zeppelin,rock,male
Nirvana,said way ooh hello one think find right youre rape hey might care gonna ill likes better mean wait got,said,way,ooh,hello,one,think,find,right,youre,rape,hey,might,care,gonna,ill,likes,better,mean,wait,got,1.0,0.9387755102040817,0.7755102040816326,0.7346938775510204,0.5510204081632653,0.5510204081632653,0.46938775510204084,0.46938775510204084,0.46938775510204084,0.4489795918367347,0.42857142857142855,0.40816326530612246,0.40816326530612246,0.3877551020408163,0.3673469387755102,0.3673469387755102,0.3673469387755102,0.3673469387755102,0.3469387755102041,0.3469387755102041,Nirvana,rock,male
Queens of the Stone Age,ah oh wanna one come gimme make might go love youre always now valium vicodin marijuana ohoh nicotine ecstasy alcohol,ah,oh,wanna,one,come,gimme,make,might,go,love,youre,always,now,valium,vicodin,marijuana,ohoh,nicotine,ecstasy,alcohol,1.0,0.46774193548387094,0.43548387096774194,0.41935483870967744,0.3870967741935484,0.3870967741935484,0.3709677419354839,0.3387096774193548,0.3225806451612903,0.2903225806451613,0.27419354838709675,0.27419354838709675,0.25806451612903225,0.25806451612903225,0.25806451612903225,0.25806451612903225,0.24193548387096775,0.24193548387096775,0.24193548387096775,0.24193548387096775,Queens of the Stone Age,rock,male
The Rolling Stones,cant never hey ah away come hoo want man might angry oh ill now baby see shot gas girl got,cant,never,hey,ah,away,come,hoo,want,man,might,angry,oh,ill,now,baby,see,shot,gas,girl,got,1.0,0.8245614035087719,0.7192982456140351,0.6491228070175439,0.6491228070175439,0.5964912280701754,0.49122807017543857,0.49122807017543857,0.47368421052631576,0.47368421052631576,0.47368421052631576,0.38596491228070173,0.38596491228070173,0.38596491228070173,0.3508771929824561,0.3508771929824561,0.3333333333333333,0.3333333333333333,0.3157894736842105,0.3157894736842105,The Rolling Stones,rock,male
The Strokes,oh want ill cant go time now say see way youre might hey right wanna friend hard take didnt never,oh,want,ill,cant,go,time,now,say,see,way,youre,might,hey,right,wanna,friend,hard,take,didnt,never,1.0,0.4625,0.4,0.3875,0.3875,0.3875,0.375,0.35,0.3,0.2875,0.2625,0.2625,0.2625,0.2375,0.2375,0.2375,0.225,0.225,0.2125,0.2,The Strokes,rock,male
The White Stripes,love well gonna home now theres oh ring ah girl button think cold might little got come tell ill youre,love,well,gonna,home,now,theres,oh,ring,ah,girl,button,think,cold,might,little,got,come,tell,ill,youre,1.0,0.86,0.8,0.8,0.76,0.72,0.64,0.58,0.54,0.52,0.52,0.5,0.5,0.46,0.46,0.44,0.42,0.4,0.38,0.38,The White Stripes,rock,male
2Pac,nigga see aint got now cause life go god round way nothin thats love cant live never one party take,nigga,see,aint,got,now,cause,life,go,god,round,way,nothin,thats,love,cant,live,never,one,party,take,1.0,0.7414965986394558,0.7074829931972789,0.5510204081632653,0.5170068027210885,0.48299319727891155,0.47619047619047616,0.4217687074829932,0.4013605442176871,0.38095238095238093,0.3741496598639456,0.3741496598639456,0.32653061224489793,0.32653061224489793,0.3129251700680272,0.3129251700680272,0.29931972789115646,0.2925170068027211,0.2925170068027211,0.2857142857142857,2Pac,rap,male
A Tribe Called Quest,make buggin kid gotta phife come got now sound oh girl go god man yes yo shit please wall cause,make,buggin,kid,gotta,phife,come,got,now,sound,oh,girl,go,god,man,yes,yo,shit,please,wall,cause,1.0,0.9285714285714286,0.8571428571428571,0.8428571428571429,0.8,0.8,0.7714285714285715,0.7714285714285715,0.7714285714285715,0.7,0.6857142857142857,0.6857142857142857,0.6714285714285714,0.6571428571428571,0.6571428571428571,0.6428571428571429,0.6428571428571429,0.6285714285714286,0.6285714285714286,0.6285714285714286,A Tribe Called Quest,rap,male
Eminem,cause cant go got back superman fuck thats shit em now gonna let youre shady want aint think one til,cause,cant,go,got,back,superman,fuck,thats,shit,em,now,gonna,let,youre,shady,want,aint,think,one,til,1.0,0.7980769230769231,0.7692307692307693,0.7211538461538461,0.6634615384615384,0.6634615384615384,0.625,0.6057692307692307,0.5769230769230769,0.5576923076923077,0.5480769230769231,0.5384615384615384,0.5288461538461539,0.5,0.49038461538461536,0.4807692307692308,0.47115384615384615,0.46153846153846156,0.4519230769230769,0.4519230769230769,Eminem,rap,male
Ice Cube,nigga fuck got cause go aint wanna shit put ass yo motherfucker now check back cube hood one cop ice,nigga,fuck,got,cause,go,aint,wanna,shit,put,ass,yo,motherfucker,now,check,back,cube,hood,one,cop,ice,1.0,0.6392405063291139,0.5822784810126582,0.5316455696202531,0.3987341772151899,0.3924050632911392,0.37341772151898733,0.3670886075949367,0.3670886075949367,0.35443037974683544,0.34810126582278483,0.34810126582278483,0.310126582278481,0.2848101265822785,0.2721518987341772,0.26582278481012656,0.26582278481012656,0.25949367088607594,0.24050632911392406,0.23417721518987342,Ice Cube,rap,male
